state,starred,map,name,message,climb_category,elevation_high,xoms,average_grade,private,elevation_profile,end_latlng,resource_state,activity_type,id,elevation_low,errors,hazardous,created_at,start_latlng,maximum_grade,athlete_count,effort_count,distance,local_legend,country,updated_at,city,total_elevation_gain,athlete_segment_stats,star_count
Idaho,False,"{'id': 's12377300', 'polyline': 'ynfbHvrmhU@mBJeB@k@AUDQM}A?{@Ea@?[Kc@Ea@BGJCBBCBEMF?D@Zf@f@^z@~@NXL`@Vb@f@h@VNXd@^ZbA`@P^RNf@XHBJ?`Ah@TDf@XXHTLHB~@Jt@a@TUJSBQCi@Se@]a@', 'resource_state': 3}",Sonic Climb,,0,720.4,"{'kom': '2:01', 'qom': '3:22', 'overall': '2:01', 'destination': {'href': 'strava://segments/12377300/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",6.2,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/IW5W22EZTMSKG2RS3VKX4E74S3KKCUDVJ7UKJGQNMPOXIGZ5UX3C2XARI37MR4YCC4HTQXDWHVRN4VCOMOFQ====,"[47.711986, -116.891634]",3,Ride,12377300,668.1,,False,2016-06-16T02:12:34Z,"[47.715815, -116.892753]",26.1,94,575,841.8,"{'athlete_id': 449837, 'title': 'mark hayden', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/449837/102292/2/large.jpg', 'effort_description': '1 effort in the last 90 days', 'effort_count': '1', 'effort_counts': {'overall': '1 effort', 'female': None}, 'destination': 'strava://segments/12377300/local_legend?categories%5B%5D=overall'}",United States,2021-05-15T08:04:28Z,Post Falls,54.5,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",1
ID,False,"{'id': 's5858283', 'polyline': 'qhwiGro|dUlI@v]RtMN', 'resource_state': 3}",Graveyard shift,,0,815.3,"{'kom': '48s', 'qom': '50s', 'overall': '48s', 'destination': {'href': 'strava://segments/5858283/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",-0.7,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/75O4WFXEMWJ7DKU3T5FZYN2OTNPYHWIK6K43O4KGLCIB3QNNL5JWXGZO7GYFMKRBIH47WJTBZ2R344TRTRHA====,"[43.696919, -116.313882]",3,Ride,5858283,807.9,,False,2013-10-25T00:45:51Z,"[43.705859, -116.313695]",0.0,4150,75854,995.2,"{'athlete_id': 391447, 'title': 'Henry Harper', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/391447/82574/3/large.jpg', 'effort_description': '26 efforts in the last 90 days', 'effort_count': '26', 'effort_counts': {'overall': '26 efforts', 'female': '8 efforts'}, 'destination': 'strava://segments/5858283/local_legend?categories%5B%5D=overall'}",United States,2021-05-20T08:02:46Z,Garden City,0.0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",20
Idaho,False,"{'id': 's14915169', 'polyline': 'gl`iGbjocU\\^`@VrAf@`APXL\\Tb@f@t@n@JNj@pA^d@Vp@f@v@N`@X^XT`Ah@hA\\p@l@Nh@@^Mp@Wj@EP?RVtB@jABl@NbAFRJLpAr@`At@d@Pd@HR?RGz@o@jBu@pA[NCr@BtBPZJlAx@^b@HPT~@`@xCFLHC\\{@', 'resource_state': 3}",LP short DH ,,0,1344.3,"{'kom': '2:07', 'qom': '2:48', 'overall': '2:07', 'destination': {'href': 'strava://segments/14915169/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",-12.4,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/RTKYQAHWBGVHBRNXQZYRRQGXDLRSFBGE34YODDAYOHPZZDU3ALBN6CGHKOG7E5FXUD7X3FJGHWSLUQBRUVZKU===,"[43.579877, -116.090113]",3,Ride,14915169,1165.4,,False,2017-05-18T21:26:19Z,"[43.588684, -116.082417]",31.1,705,1702,1411.0,"{'athlete_id': 120583598, 'title': 'Zach Johnston', 'profile': 'https://lh3.googleusercontent.com/a/AAcHTtdGkFDzfwnspua7Hfe2mHZHOoLFdfgzbxaYPMg0hsFaLw=s96-c', 'effort_description': '1 effort in the last 90 days', 'effort_count': '1', 'effort_counts': {'overall': '1 effort', 'female': None}, 'destination': 'strava://segments/14915169/local_legend?categories%5B%5D=overall'}",United States,2021-05-15T02:19:22Z,Boise,7.1,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",1
ID,False,"{'id': 's3743703', 'polyline': 'i`qbHjttgUyHGsKE[IuBCcC@g@NaHBgP@i@[i@Bk@?i@Dk@R}G?{DCw@GsA_Bk@y@y@u@iCiDi@_AuBqEm@cAi@o@wC{BcBaAmAeAq@e@m@YWe@E{@?_AI}@?sDEqM?oULqr@Gqu@Nw@?w@?{@O_AA{y@FcAGgA?oeALm@?qD?o@Mu@EiWm@}CeBQmAA{MGcT?_@G]FeM?MFuA@[F}@Oi@AuQA{A@{A_@qIgVaAeAiAJ}@b@gCrAeAd@iAp@eA~@iAd@_DPoA|@eApA_DjBeAtAiBzEsAnFiAt@sAFsAQyAMkAs@u@cAm@kBAyB\\kBhAwETsBFqBMqBg@{A{@kA{@w@IyAD{Am@{@cAB_D\\mA@kAViBnBa@e@?iAv@sBT}@?aALaAXs@tBuBd@]b@k@X{@AaAW}@cAkBaAuBWkAQkAMiAQeAYcAg@e@k@Sg@a@GcADkJA}CBmAL{@`@Yb@Kb@A\\_@j@Qb@Wb@Mb@Dt@|@V^Vl@`@d@j@Td@@b@I^[zA_Cf@e@p@?`@j@P~@Xf@`@Td@Op@cB^e@`@Y`@_@Vu@Lw@F}@BcAHaAj@GfAZl@vAdBvAf@v@VVd@Th@JzCdBRPXJv@L^@b@Gh@W`@q@\\w@h@a@l@Vf@x@n@p@v@NpBq@r@QjBGl@Wb@g@^{@TcALoA[qAq@c@qBy@g@m@Ls@l@Kt@Wn@}@r@U~@FbA?`AG|@Vv@E`@eAk@cBi@_Aa@_As@kDe@mAUkDc@cAWcABsAh@y@p@Or@Rd@t@Z|@`@x@t@lBdAdAj@xAd@V`@CVMRCPPL^F`@T`@VX^@^MZS\\E\\J~@`@^R^XrAvA\\P\\Dx@IPGL?f@z@^\\~@\\XDXAVIROLa@Fg@AqABuCAw@FgAfAcCCmA_@{@{@k@q@_@i@u@e@eARkAt@L|CdBfBv@z@LpBU`A@v@SlBuAt@Ip@Hh@N`@`@Vl@R~AZxD`@lBR`@TTZL^CZGv@[r@M^?r@HTAVIfAg@VIV?f@LN@l@G\\O\\a@VcAXiCZw@j@q@r@eAj@eA|@_@|@?v@SXkAC_Ba@_Eu@oDVaAl@Iv@a@l@y@b@}@?iAWmA]gAc@u@k@q@e@y@{@mCe@_A}@q@s@Mu@@Wi@f@u@t@u@|BoBh@kA@wAg@iAi@m@\\i@v@Qx@k@l@_A`AAbA]~@m@t@s@f@aB^kBr@kAz@Y|@Rt@J~@^t@NvBh@r@Ht@IhAo@`BqAR[VSN[P{@Bi@?c@Hg@LiBP_B?[H_BAw@DYH[NUfAYPAf@?TBTJd@f@bA|AZXHDlBRfAv@VLT@NCLGRERBRHRNj@f@RLd@B`AY\\AdAa@`Bw@f@G|@BbARVH^P`@`@Xl@J`AFdDJtAZnAb@nAZxACfBa@`Bk@pAg@~AQhBGjBFdBAhB[bBKjB@dBi@jA{@z@o@lAa@nAH`Bl@b@n@a@r@s@v@U`AQbA[v@}@|@uDx@o@`AWrCe@bAq@h@yAJwAReAbA]h@TxAvAA`Bd@|C?t@LrDLrAPdAZd@\\\\r@l@tDbCrAbAx@d@v@^ZX`CbCZh@Zp@Rl@Rz@E~@i@d@w@f@_@\\_@d@y@rAm@hAOl@OjAHjAXv@z@vAz@bA|@x@ZHb@?|Ac@\\EbAXpBt@l@\\f@n@^l@v@vBr@\\z@@~@Kx@T`Er@|@D`A]h@gAZwA^yA~@{DD_BGsB?wEW}Aq@{@m@cAQqADyA\\kAd@eAp@[l@^`@d@~@p@hAr@xAxAT^b@`ATxBRf@r@t@h@b@v@J?HVNXXFh@@r@Lp@Fn@\\~A^X\\P^J`@C`@O~@SrAcAd@EX@XHRp@Gn@Qp@q@tAo@zAQp@It@@t@Jz@Tn@d@d@h@HnAD^PLTXbBj@b@Tt@Xr@t@xAn@`APh@Dr@ApC@t@Fh@T`@`@VXDXi@f@q@jAk@jAkAj@_@^o@T_BJoAX}@r@i@h@}@l@s@xAwB`@{@XQx@v@JjA\\r@v@r@BnBMhA{@jD@`@|@x@R~@Dt@W`DBj@`AvD^Z`@G\\Od@Ml@HtA_Af@Sj@^PhAm@dCMjAGdC@~@GpBAz@Vv@^h@LdAEvAi@`A{BtC_AdBm@lBiAfEQ~@OfEIdAe@rBMx@M`C_@`CI~@R`Ar@Nl@Dl@]l@m@tByAx@o@p@]Zh@OzAwCbOAhA\\dAfClChEfGZh@J`A@v@Tl@bBh@fB\\b@N^d@El@qApBO`@@r@\\`@`@B\\EvBm@XETTVHVPPNFXGl@Md@MViAtAw@`@s@TcBr@YFkAh@WFUNWCUBUCOKg@W]I_@A]B[J[B]Gu@WYAs@Ds@?y@GWGY?YDWPQZI`@Bt@LfAXbAp@rDZtAI`BN`B^fBD`BYhBFhBLvAo@dAs@|@]pAuA@oAC{BvBiAh@uBpCUbBJfBE|ADpAZ~@f@`Ah@z@LbAW|Ag@jAm@bAu@v@q@l@_AMYgAa@{@{@s@gCgBiAs@kAk@iAOaAA}@BeFRs@Ho@Zi@x@}@dDEv@p@lDJv@XpC`@jFVjAh@~@zCbDh@~@\\~@dBtGT~@LbAHdALlEVnA`@bAtApBn@j@r@Zv@Lv@A|BY|@Vf@jAb@rAn@dDZjAb@`Af@x@p@b@n@RfBFt@`@XxAWtAW`AYz@y@tBuAdD]r@cDxFUdAK`AQrCMpA[|@w@nBGlAVdFTjCh@dE^|E\\hCJdAb@|Kh@xEJpAN~@`@pEVtEBnA@vCDfA`BbKz@|EHlA@lAGpAg@rCe@zEw@rEKnAGvA?hAIhAwAtGc@bAiClAcCrAMDmBTgGVk@s@i@Yc@[gAeAaDsByDmCmB_Bm@Se@a@kA{A]w@u@yB_@{@o@{BYi@UKYIc@DuA?{AGkCCkMWq@Es@@cV]yKK', 'resource_state': 3}",Hayden Lake CW loop via Strahorn and Lancaster,,0,798.4,"{'kom': '1:10:54', 'qom': '1:27:47', 'overall': '1:10:54', 'destination': {'href': 'strava://segments/3743703/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",0.0,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/NLRWX7HP5FVM7M36722QRHGXK7GSKPI4NUU5U5DIFQLBOSYKVEGZKXEGRKRNB2CKSUM2PEPJNJ3HE6JZG35A====,"[47.769176, -116.765028]",3,Ride,3743703,683.6,,False,2013-04-03T01:04:22Z,"[47.769812, -116.765014]",21.0,17,70,37911.4,,United States,2021-05-15T02:12:57Z,Hayden,745.707,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",2
ID,False,"{'id': 's5051664', 'polyline': 'qrtbHvzwgU?sAGiEJkCEgBF}DB[`@gCb@oDLqAHyBUmGI_AUaFGaDGgFOgBAcA', 'resource_state': 3}",Lancaster Bump,,0,738.8,"{'kom': '1:28', 'qom': '2:04', 'overall': '1:28', 'destination': {'href': 'strava://segments/5051664/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",3.7,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/JEUASC6FSW7RD2OWB53J7SVLGQQSIJVO4KLZ4DUJ4WZI4URVACBICRTKZKFQFJB7CZMTCGF666TJES7KYT2A====,"[47.788017, -116.769448]",3,Ride,5051664,705.0,,False,2013-08-09T17:38:39Z,"[47.788095, -116.781392]",7.0,350,1963,906.0,,United States,2021-05-19T08:02:30Z,Hayden,33.8,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",9
Idaho,False,"{'id': 's23884370', 'polyline': 'ya}iGrhydUBiRTmDDsCA_AM}CeCsW', 'resource_state': 3}",Brookside Slide,,0,842.2,"{'kom': '45s', 'qom': '1:05', 'overall': '45s', 'destination': {'href': 'strava://segments/23884370/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",0.8,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/57J4VRTLQ4AYVUNFFCXMUCB2ZQER3LINFV3O5CCVBKP7GIFWEGDZSCQ5ZVQSWIT5MLHAD4DUMQ3W673CRZJBC===,"[43.736085, -116.287461]",3,Ride,23884370,835.6,,False,2020-05-08T20:50:14Z,"[43.735495, -116.297219]",1.4,198,1081,796.6,"{'athlete_id': 303563, 'title': 'Mark Emry', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/303563/3168994/1/large.jpg', 'effort_description': '15 efforts in the last 90 days', 'effort_count': '15', 'effort_counts': {'overall': '15 efforts', 'female': '6 efforts'}, 'destination': 'strava://segments/23884370/local_legend?categories%5B%5D=overall'}",United States,2021-05-15T02:24:38Z,Boise,6.6,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",3
,False,"{'id': 's19195876', 'polyline': 'ezkiGva}cUR\\DPLhAAJOPIR?A@~@Rr@UTM\\Kf@CT@VFf@Jb@@r@Rx@Pb@HNNd@', 'resource_state': 3}",The Rock!,,0,932.6,"{'kom': '37s', 'qom': '42s', 'overall': '37s', 'destination': {'href': 'strava://segments/19195876/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",-6.6,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/R2VDGQH2W7JB4WB6LRSCFDDUTK2FKF65GPEXQK2UL3O5LEK3BMIV6L3Q5I4Q7ZTC24DVWJHGIG7HVTCDG6WYK===,"[43.646889, -116.15626]",3,Ride,19195876,911.2,,False,2018-10-25T23:48:57Z,"[43.647232, -116.152757]",20.7,6624,93968,318.7,"{'athlete_id': 16582828, 'title': 'Steve Speidel', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/16582828/5096739/4/large.jpg', 'effort_description': '22 efforts in the last 90 days', 'effort_count': '22', 'effort_counts': {'overall': '22 efforts', 'female': '13 efforts'}, 'destination': 'strava://segments/19195876/local_legend?categories%5B%5D=overall'}",,2021-05-20T08:04:52Z,,2.6,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",18
Idaho,False,"{'id': 's9883766', 'polyline': 'uynbHhztgUl@lBr@nB~@fBp@~@p@t@vErDtI`GdOpK', 'resource_state': 3}",Strahorn Sprint,,0,698.3,"{'kom': '57s', 'qom': '1:14', 'overall': '57s', 'destination': {'href': 'strava://segments/9883766/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",-0.8,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/M2BQDV7EV2GBGJRTFZAKRZZN6FVDEZRNSAHJZGDEHAIMLT6E2CUQ3Y2YS7Z3XMPQL2Z4VXDJMTPO66F7A3Q4Q===,"[47.751826, -116.772384]",3,Ride,9883766,688.5,,False,2015-07-05T17:50:11Z,"[47.758513, -116.765961]",2.2,1260,10970,892.7,"{'athlete_id': 48140297, 'title': 'Josh Thompson', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/48140297/25256600/1/large.jpg', 'effort_description': '4 efforts in the last 90 days', 'effort_count': '4', 'effort_counts': {'overall': '4 efforts', 'female': None}, 'destination': 'strava://segments/9883766/local_legend?categories%5B%5D=overall'}",United States,2021-05-17T08:05:46Z,Hayden Lake,2.5,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",17
Idaho,False,"{'id': 's32680960', 'polyline': 'aqvbHfaigUfB?rHNdCEjDMzKIrCFz@DnDAbDBb@@', 'resource_state': 3}",Rip-n-Dip,,0,795.2,"{'kom': '1:01', 'qom': '1:04', 'overall': '1:01', 'destination': {'href': 'strava://segments/32680960/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",-4.5,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/OY5NQIIEWOQNGOI5AG62JQ55ZDOC5IOFWVMGX7RROY665BDGMJQIW3IUUVCKE2I33J6XO2NASPL2MSQLSUPN6===,"[47.789522, -116.705659]",3,Ride,32680960,751.8,,False,2022-08-28T00:10:48Z,"[47.798097, -116.705637]",2.5,261,6604,953.8,"{'athlete_id': 13657, 'title': 'Dustin Van Wyck', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/13657/16247511/1/large.jpg', 'effort_description': '2 efforts in the last 90 days', 'effort_count': '2', 'effort_counts': {'overall': '2 efforts', 'female': None}, 'destination': 'strava://segments/32680960/local_legend?categories%5B%5D=overall'}",United States,2022-08-28T00:10:48Z,Hayden,0.0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",3
ID,False,"{'id': 's2361326', 'polyline': '}kfiGlytdUIh@QbQQx]?~PBhJ@pVAnQ', 'resource_state': 3}",Fairview ColeGrove,,0,823.4,"{'kom': '1:32', 'qom': '1:58', 'overall': '1:32', 'destination': {'href': 'strava://segments/2361326/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",-0.3,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/QTBQW5CONUUO4PMGVEONOLK24OP3K2OG6IPTYRNKUBJSU5MEAJ42C7Y3UWGDXUFRVXWLSBIZMRAJXKWH2CCQA===,"[43.6195628, -116.2937676]",3,Ride,2361326,818.0,,False,2012-09-12T03:28:31Z,"[43.6193542, -116.2743011]",-0.1,212,919,1572.72,"{'athlete_id': 6525968, 'title': 'Jerry Lathrop', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/6525968/2372610/4/large.jpg', 'effort_description': '1 effort in the last 90 days', 'effort_count': '1', 'effort_counts': {'overall': '1 effort', 'female': None}, 'destination': 'strava://segments/2361326/local_legend?categories%5B%5D=overall'}",United States,2021-05-15T02:12:28Z,Boise,0.0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}",1
