id,name,climb_category,climb_category_desc,avg_grade,start_lat,start_lng,end_lat,end_lng,elev_difference,distance,points
12631507,Atlas Burner,0,NC,0.3,47.744714,-116.829508,47.762787,-116.829502,5.7,2012.1,mclbHlgahU_@BaAAyGAIAcAAgC@uBCkB@oPEmE@yHCeBB{ACgA@{@AkA@cCFaAAsB?W@iAAiBD_BCkAB}ACwDFy@A_AD{AA_ABs@EME
25040605,Airport Private Road West,0,NC,-0.3,47.766286,-116.816259,47.764726,-116.823825,3.7,756.9,gjpbHrt~gUPVLHHFJ?n@CJEL?t@Q~@Kb@CT@JDHHFLDP@b@K~@@r@Gj@?b@EtA@j@El@IdDDnDA~@BjFEhC@bAAbBDlB
16100560,Atlas Blast,0,NC,0.3,47.745786,-116.829488,47.754457,-116.829444,3.4,964.4,cjlbHhgahUaJB}@CeEAaABuCCwI?uCEkF@mDA
9314975,Haulin' Atlas,0,NC,-0.2,47.758513,-116.829528,47.745326,-116.82959,3.7,1470.7,uynbHpgahUvUERRP?\C^BhBEv@Dh@ENDpDCzBBnACpA@f@API~SDRFd@CLBjACxAD`@Cl@Bl@C^?
3757597,Tumbleweed Circle Climb,1,4,7.0,47.73791912738603,-116.80815900684541,47.7491601370275,-116.80825657211244,87.6,1251.3,}xjbH~a}gUsB@aFCaK?eXJsELwNC
32349742,West on Wilbur,0,NC,-0.1,47.740617,-116.819884,47.739755,-116.828008,1.9,637.9,yikbHhk_hUAv@Et@IlDA~BHxDHp@ZbB^`AhAdCXlAJr@@x@GlBD`BAhE@lA
20575519,Honeysuckle sprint,0,NC,0.0,47.751855,-116.829497,47.751709,-116.80841,3.0,1585.1,apmbHjgahUO_@HaHLs_@@_VBiIB_NBcDFub@
860867,E Burma Rd Climb,1,4,5.2,47.57505727931857,-116.7634257953614,47.586261453107,-116.74444447271526,154.6,2968.3,a_kaHljtgUN_CDaBJoBAaBBqA?cBHeBRkAFw@AqA@g@Ag@@g@JaB^oBFi@Ni@Bq@XuAF_AJg@LsA\{BFoCC{@@}@C{@K{@[sAMkAKc@Eu@@oACy@BiAEgBMkBIg@Uk@i@oBGe@SaAw@cBEIWOQOW]s@e@{Ay@s@y@_@WUU]k@OOqAy@cB{@SQq@WeCi@w@KYQOEuASkAe@}BmA[Go@Di@R]HyAP_@J[Te@Ng@`@[\_AxAi@bA}@dCETG~@?jBDzAIp@KPOFUDWAKEIIGOGu@G[KYu@sASSUKUE{@IICKMCWBM`@o@Xy@B_@?a@CMI[OU]WQGc@KwAIc@GEEHS
571466,Mivoden Hill,1,4,7.7,47.782157,-116.667235,47.774385,-116.664269,87.4,1138.2,mmsbHfqagUrAy@r@m@p@u@Vo@Lw@PkBFqA\aE@_@?aADo@F_@Z_@n@Gv@C^BNFTP^j@r@|AJNVJj@H|@@NDVPb@r@TLH?t@WPA\BXJ`Ap@`@BtA[bBq@bAYXIl@G\?TDpA\`@P
9791241,McLeans Bay DH,0,NC,-2.5,47.796622,-116.68335,47.802926,-116.683821,33.6,1299.7,{gvbH|udgUBrBAh@Gf@Kd@IN[Tu@Dg@COISUKYQUg@]o@EeAFWCm@[e@m@e@e@wBmAUES?WHc@ZSDSCSMM[M_AMYOSo@AULUDY?q@s@M[MUm@e@SY]gA}@}BM_@O]OWSO_AQw@b@MPQj@El@BRLb@f@~@Tr@Ff@@vABVp@hB`@bC
28424441,Northbound Mivoden DH,0,NC,-6.5,47.775001,-116.663987,47.782763,-116.667325,72.8,1118.3,w`rbH||`gUg@CM@yAZ_AXeAb@s@Tw@J[?[Kq@a@q@Os@HY?UMSWm@c@qAM[KWSUW}@}AUWYMy@Cy@FYFULQRKXCb@KbDg@rGOvAe@hAWZs@l@mBlA[H]B]A
31576859,MiVoden Parking Lot to Round-a-bout,0,NC,7.5,47.783386,-116.670745,47.776396,-116.667441,78.6,1002.9,cusbHdgbgUMYD]DCNAh@F\?^Bj@J|@\`@Hf@ZX^Pj@T`@\^n@d@p@Pv@Jf@?TCXUv@eA^Od@]\e@P[RYNa@L_ADq@R_AL]b@{@XW^On@ANBb@RTDVKXa@~@kCHO^g@NYBQLWh@Yp@O
21172750,Cancourse Climb,1,4,7.6,47.715246,-116.749713,47.717062,-116.748614,81.6,1075.3,gkfbHvtqgU?uADq@COEOk@g@I?q@d@?OH[Vo@CACKC@CNOXAGLw@JYEACBMt@Wp@H{AFi@DGNCBEMOEACDi@~BIJBqAN{@Ba@AGAPOn@Il@C@Fi@D_AACS~@C??C@[@sACBCv@Gb@Ov@KVAARiBAcABc@EIGnBI@Am@B[AmACEC?QrA?ZE\Sn@[h@MLMZKXG^GH
3862917,canfield towers straight down trail 1 to teepee,0,NC,-16.9,47.721308,-116.74458,47.717633,-116.749375,138.2,794.4,cqgbHrtpgUVFXGVO`@]JM`AYJMLIRAHRXRJBJ?VHT@LIXUb@Br@ZHJHLPrADfAP~@JVTL~@VTJXT@JRPXLLNd@|@Pl@d@|DLvA@n@Gf@]?MNMb@CVKTWXEN
2438041,Road climb lower lot to radio tower,3,2,8.1,47.71274019,-116.73273053,47.73165276,-116.73012945,559.2,6858.9,s{ebHrjngUg@@F@ILD?Nk@D_@DeCKo@Go@_@kBIUHs@AW][IMMKK@OE]EICQQWCa@Qe@KQ@c@OMMYQMCS?KCOGg@a@SCg@a@a@IMUa@e@i@w@EUq@uB]_BQi@OQK?AHHTX^Mr@Ch@@|ADTHNFPPdAPXTR`@~@Z`@Nb@HL`@TVjANRZDl@t@NF?b@G\XN@TGTe@\QH{@TQ?QFOf@CPKb@Uj@Od@Qz@Yj@]`@S@QCQOOQc@y@UYOI[FIHw@`AONSCy@i@Y_@Qm@KMI@OESI]IOMs@a@W_@MIMO_@NWVOFMEMB[Ey@[QBOIk@JMP?LBTLTX@Zd@HVAZHT@RCVKf@DR?RQf@EVBdACXC\GRc@?k@c@i@QKIOCMAm@J]AYS{@w@k@E[FMA_@OQXGh@e@n@MB{@A_@MMGU[KAKGOH[CEF?PERLDAXJTVpATj@@REZ?XBf@JVDd@Pv@JRb@ZBXUJO?eAcBWW[KIIKOOq@?q@A[GQSWMG[Cy@Ps@A]]GUIQKIm@CKMAw@GGBYDGH_@P[F[M{A_@_B?]G[L_@DW[OW?YIe@Gi@?YM]Ia@SOEGUCy@D[NUP}AUQu@kAIBMAMIKKYa@Si@EUW]Sa@Ka@O[]_BGy@NINAJDFAJMX?NEXMFOTULWNy@DK^IH@FA\URi@JKZ{@Z[Je@a@_BISY_@e@MaAy@QYYiAo@c@MBOMYg@MQBYCu@Qm@iBs@QOMSOc@Dk@G]Na@Fy@@YA_AEQMcCMk@Y]QEOBY\c@TSI_@COESOa@a@IYMGKOO]QOOKYe@_@eAUgAC]ISQ@MRC\@XFv@RdAt@vBLj@f@zAPz@f@n@DNTNR`@Jv@@fBKbBMx@Mb@?NMz@HtATXFDL@LPDR@p@KLMBKAIEgA_AGCK[CQAY@OOu@Ci@Sq@Ks@y@cASe@W]]Mc@?_ASQAq@RIDm@HUJQ\Ch@@\BFDBNGTSL?z@TZTd@l@JPFT?ZETGPQ`@kAhBKb@Gr@Az@?x@D|BZvDNv@n@rBNv@J~@Ax@z@r@TZJ`AE`@IPD?
3710763,Nettleton to A,2,3,7.1,47.70843070931733,-116.74244388006628,47.72402431815863,-116.73397296108305,251.8,3530.4,u`ebHhgpgUc@cDEWa@cAeA}Cs@kBq@eCuA_I]mAKk@M]Kc@_@s@a@iAUa@s@cAM_@u@y@Qk@MQKYUYUc@s@e@SWWWQYi@c@[e@?QDs@Ey@EICYVQCQ@]HIOo@AKHQGe@KSAY@]Mg@CW@gAUy@EISQqA{@i@Y_@K]O}@QQK]Wi@Uk@c@m@Wq@a@gAc@MKQUSo@_@uAIs@Oe@Se@Ma@SSW?KFQn@JpADXJ`@Lz@Dt@H`@B^Xj@Vr@R`@JNZV`@XpAvALPLb@HJdA|@PZDR?d@Gb@WPQFQNUFM@MDWTY\Wt@e@dAIj@I^MTIHo@\IBIAOIIMOi@W_@QOUGQBSJMLUNYf@QRQBc@e@e@u@Mm@GIKEU?i@IQGUYe@]IIESMMUCa@Da@RGLGB{@GUIg@?c@IMDKNAHDXPXRLNRXp@@TGZOb@IpAOl@Az@Dd@?RGd@QDICMESYOKe@Uk@QM?e@L[?[M_@k@QMa@O_@A}@FQPKj@MRg@Tk@I]KAEIAi@Sg@G
